"","gs_cat","gs_subcat","gs_name","gene_symbol","entrez_gene","ensembl_gene","human_gene_symbol","human_entrez_gene","human_ensembl_gene","gs_id","gs_pmid","gs_geoid","gs_exact_source","gs_url","gs_description"
"21","H","","HALLMARK_ADIPOGENESIS","ANGPTL4",51129,"ENSG00000167772","ANGPTL4",51129,"ENSG00000167772","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"22","H","","HALLMARK_ADIPOGENESIS","APLP2",334,"ENSG00000084234","APLP2",334,"ENSG00000084234","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"23","H","","HALLMARK_ADIPOGENESIS","APOE",348,"ENSG00000130203","APOE",348,"ENSG00000130203","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"24","H","","HALLMARK_ADIPOGENESIS","ARAF",369,"ENSG00000078061","ARAF",369,"ENSG00000078061","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"25","H","","HALLMARK_ADIPOGENESIS","ARL4A",10124,"ENSG00000122644","ARL4A",10124,"ENSG00000122644","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"26","H","","HALLMARK_ADIPOGENESIS","ATL2",64225,"ENSG00000119787","ATL2",64225,"ENSG00000119787","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"27","H","","HALLMARK_ADIPOGENESIS","ATP1B3",483,"ENSG00000069849","ATP1B3",483,"ENSG00000069849","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"28","H","","HALLMARK_ADIPOGENESIS","ATP5PO",539,"ENSG00000241837","ATP5PO",539,"ENSG00000241837","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"29","H","","HALLMARK_ADIPOGENESIS","BAZ2A",11176,"ENSG00000076108","BAZ2A",11176,"ENSG00000076108","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"30","H","","HALLMARK_ADIPOGENESIS","BCKDHA",593,"ENSG00000248098","BCKDHA",593,"ENSG00000248098","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"31","H","","HALLMARK_ADIPOGENESIS","BCL2L13",23786,"ENSG00000099968","BCL2L13",23786,"ENSG00000099968","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"32","H","","HALLMARK_ADIPOGENESIS","BCL6",604,"ENSG00000113916","BCL6",604,"ENSG00000113916","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"33","H","","HALLMARK_ADIPOGENESIS","C3",718,"ENSG00000125730","C3",718,"ENSG00000125730","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"34","H","","HALLMARK_ADIPOGENESIS","CAT",847,"ENSG00000121691","CAT",847,"ENSG00000121691","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"35","H","","HALLMARK_ADIPOGENESIS","CAVIN1",284119,"ENSG00000177469","CAVIN1",284119,"ENSG00000177469","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"36","H","","HALLMARK_ADIPOGENESIS","CAVIN2",8436,"ENSG00000168497","CAVIN2",8436,"ENSG00000168497","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"37","H","","HALLMARK_ADIPOGENESIS","CCNG2",901,"ENSG00000138764","CCNG2",901,"ENSG00000138764","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"38","H","","HALLMARK_ADIPOGENESIS","CD151",977,"ENSG00000177697","CD151",977,"ENSG00000177697","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"39","H","","HALLMARK_ADIPOGENESIS","CD302",9936,"ENSG00000241399","CD302",9936,"ENSG00000241399","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"40","H","","HALLMARK_ADIPOGENESIS","CD36",948,"ENSG00000135218","CD36",948,"ENSG00000135218","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"41","H","","HALLMARK_ADIPOGENESIS","CDKN2C",1031,"ENSG00000123080","CDKN2C",1031,"ENSG00000123080","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"42","H","","HALLMARK_ADIPOGENESIS","CHCHD10",400916,"ENSG00000242131","CHCHD10",400916,"ENSG00000242131","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"43","H","","HALLMARK_ADIPOGENESIS","CHCHD10",400916,"ENSG00000250479","CHCHD10",400916,"ENSG00000250479","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"44","H","","HALLMARK_ADIPOGENESIS","CHCHD10",400916,"ENSG00000273607","CHCHD10",400916,"ENSG00000273607","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"45","H","","HALLMARK_ADIPOGENESIS","CHUK",1147,"ENSG00000213341","CHUK",1147,"ENSG00000213341","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"46","H","","HALLMARK_ADIPOGENESIS","CIDEA",1149,"ENSG00000176194","CIDEA",1149,"ENSG00000176194","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"47","H","","HALLMARK_ADIPOGENESIS","CMBL",134147,"ENSG00000164237","CMBL",134147,"ENSG00000164237","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"48","H","","HALLMARK_ADIPOGENESIS","CMPK1",51727,"ENSG00000162368","CMPK1",51727,"ENSG00000162368","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"49","H","","HALLMARK_ADIPOGENESIS","COL15A1",1306,"ENSG00000204291","COL15A1",1306,"ENSG00000204291","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"50","H","","HALLMARK_ADIPOGENESIS","COL4A1",1282,"ENSG00000187498","COL4A1",1282,"ENSG00000187498","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"51","H","","HALLMARK_ADIPOGENESIS","COQ3",51805,"ENSG00000132423","COQ3",51805,"ENSG00000132423","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"52","H","","HALLMARK_ADIPOGENESIS","COQ5",84274,"ENSG00000110871","COQ5",84274,"ENSG00000110871","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"53","H","","HALLMARK_ADIPOGENESIS","COQ9",57017,"ENSG00000088682","COQ9",57017,"ENSG00000088682","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"54","H","","HALLMARK_ADIPOGENESIS","COX6A1",1337,"ENSG00000111775","COX6A1",1337,"ENSG00000111775","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"55","H","","HALLMARK_ADIPOGENESIS","COX7B",1349,"ENSG00000131174","COX7B",1349,"ENSG00000131174","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"56","H","","HALLMARK_ADIPOGENESIS","COX8A",1351,"ENSG00000176340","COX8A",1351,"ENSG00000176340","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"57","H","","HALLMARK_ADIPOGENESIS","CPT2",1376,"ENSG00000157184","CPT2",1376,"ENSG00000157184","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"58","H","","HALLMARK_ADIPOGENESIS","CRAT",1384,"ENSG00000095321","CRAT",1384,"ENSG00000095321","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"59","H","","HALLMARK_ADIPOGENESIS","CS",1431,"ENSG00000062485","CS",1431,"ENSG00000062485","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"60","H","","HALLMARK_ADIPOGENESIS","CYC1",1537,"ENSG00000179091","CYC1",1537,"ENSG00000179091","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"61","H","","HALLMARK_ADIPOGENESIS","CYP4B1",1580,"ENSG00000142973","CYP4B1",1580,"ENSG00000142973","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"62","H","","HALLMARK_ADIPOGENESIS","DBT",1629,"ENSG00000137992","DBT",1629,"ENSG00000137992","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"63","H","","HALLMARK_ADIPOGENESIS","DDT",1652,"ENSG00000099977","DDT",1652,"ENSG00000099977","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"64","H","","HALLMARK_ADIPOGENESIS","DDT",1652,"ENSG00000275003","DDT",1652,"ENSG00000275003","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"65","H","","HALLMARK_ADIPOGENESIS","DECR1",1666,"ENSG00000104325","DECR1",1666,"ENSG00000104325","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"66","H","","HALLMARK_ADIPOGENESIS","DGAT1",8694,"ENSG00000185000","DGAT1",8694,"ENSG00000185000","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"67","H","","HALLMARK_ADIPOGENESIS","DGAT1",8694,"ENSG00000261698","DGAT1",8694,"ENSG00000261698","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"68","H","","HALLMARK_ADIPOGENESIS","DGAT1",8694,"ENSG00000285482","DGAT1",8694,"ENSG00000285482","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"69","H","","HALLMARK_ADIPOGENESIS","DHCR7",1717,"ENSG00000172893","DHCR7",1717,"ENSG00000172893","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"70","H","","HALLMARK_ADIPOGENESIS","DHRS7",51635,"ENSG00000100612","DHRS7",51635,"ENSG00000100612","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"71","H","","HALLMARK_ADIPOGENESIS","DHRS7B",25979,"ENSG00000109016","DHRS7B",25979,"ENSG00000109016","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"72","H","","HALLMARK_ADIPOGENESIS","DLAT",1737,"ENSG00000150768","DLAT",1737,"ENSG00000150768","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"73","H","","HALLMARK_ADIPOGENESIS","DLD",1738,"ENSG00000091140","DLD",1738,"ENSG00000091140","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"74","H","","HALLMARK_ADIPOGENESIS","DNAJB9",4189,"ENSG00000128590","DNAJB9",4189,"ENSG00000128590","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"75","H","","HALLMARK_ADIPOGENESIS","DNAJC15",29103,"ENSG00000120675","DNAJC15",29103,"ENSG00000120675","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"76","H","","HALLMARK_ADIPOGENESIS","DRAM2",128338,"ENSG00000156171","DRAM2",128338,"ENSG00000156171","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"77","H","","HALLMARK_ADIPOGENESIS","ECH1",1891,"ENSG00000104823","ECH1",1891,"ENSG00000104823","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"78","H","","HALLMARK_ADIPOGENESIS","ECH1",1891,"ENSG00000282853","ECH1",1891,"ENSG00000282853","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"79","H","","HALLMARK_ADIPOGENESIS","ECHS1",1892,"ENSG00000127884","ECHS1",1892,"ENSG00000127884","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"80","H","","HALLMARK_ADIPOGENESIS","ELMOD3",84173,"ENSG00000115459","ELMOD3",84173,"ENSG00000115459","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"81","H","","HALLMARK_ADIPOGENESIS","ELOVL6",79071,"ENSG00000170522","ELOVL6",79071,"ENSG00000170522","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"82","H","","HALLMARK_ADIPOGENESIS","ENPP2",5168,"ENSG00000136960","ENPP2",5168,"ENSG00000136960","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"83","H","","HALLMARK_ADIPOGENESIS","EPHX2",2053,"ENSG00000120915","EPHX2",2053,"ENSG00000120915","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"84","H","","HALLMARK_ADIPOGENESIS","ESRRA",2101,"ENSG00000173153","ESRRA",2101,"ENSG00000173153","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"85","H","","HALLMARK_ADIPOGENESIS","ESYT1",23344,"ENSG00000139641","ESYT1",23344,"ENSG00000139641","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"86","H","","HALLMARK_ADIPOGENESIS","ETFB",2109,"ENSG00000105379","ETFB",2109,"ENSG00000105379","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"87","H","","HALLMARK_ADIPOGENESIS","FABP4",2167,"ENSG00000170323","FABP4",2167,"ENSG00000170323","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"88","H","","HALLMARK_ADIPOGENESIS","FAH",2184,"ENSG00000103876","FAH",2184,"ENSG00000103876","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"89","H","","HALLMARK_ADIPOGENESIS","FZD4",8322,"ENSG00000174804","FZD4",8322,"ENSG00000174804","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"90","H","","HALLMARK_ADIPOGENESIS","G3BP2",9908,"ENSG00000138757","G3BP2",9908,"ENSG00000138757","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"91","H","","HALLMARK_ADIPOGENESIS","GADD45A",1647,"ENSG00000116717","GADD45A",1647,"ENSG00000116717","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"92","H","","HALLMARK_ADIPOGENESIS","GBE1",2632,"ENSG00000114480","GBE1",2632,"ENSG00000114480","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"93","H","","HALLMARK_ADIPOGENESIS","GHITM",27069,"ENSG00000165678","GHITM",27069,"ENSG00000165678","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"94","H","","HALLMARK_ADIPOGENESIS","GPAM",57678,"ENSG00000119927","GPAM",57678,"ENSG00000119927","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"95","H","","HALLMARK_ADIPOGENESIS","GPAT4",137964,"ENSG00000158669","GPAT4",137964,"ENSG00000158669","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"96","H","","HALLMARK_ADIPOGENESIS","GPD2",2820,"ENSG00000115159","GPD2",2820,"ENSG00000115159","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"97","H","","HALLMARK_ADIPOGENESIS","GPHN",10243,"ENSG00000171723","GPHN",10243,"ENSG00000171723","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"98","H","","HALLMARK_ADIPOGENESIS","GPX3",2878,"ENSG00000211445","GPX3",2878,"ENSG00000211445","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"99","H","","HALLMARK_ADIPOGENESIS","GPX4",2879,"ENSG00000167468","GPX4",2879,"ENSG00000167468","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"100","H","","HALLMARK_ADIPOGENESIS","GRPEL1",80273,"ENSG00000109519","GRPEL1",80273,"ENSG00000109519","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"101","H","","HALLMARK_ADIPOGENESIS","HADH",3033,"ENSG00000138796","HADH",3033,"ENSG00000138796","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"102","H","","HALLMARK_ADIPOGENESIS","HIBCH",26275,"ENSG00000198130","HIBCH",26275,"ENSG00000198130","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"103","H","","HALLMARK_ADIPOGENESIS","HSPB8",26353,"ENSG00000152137","HSPB8",26353,"ENSG00000152137","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"104","H","","HALLMARK_ADIPOGENESIS","IDH1",3417,"ENSG00000138413","IDH1",3417,"ENSG00000138413","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"105","H","","HALLMARK_ADIPOGENESIS","IDH3A",3419,"ENSG00000166411","IDH3A",3419,"ENSG00000166411","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"106","H","","HALLMARK_ADIPOGENESIS","IDH3G",3421,"ENSG00000067829","IDH3G",3421,"ENSG00000067829","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"107","H","","HALLMARK_ADIPOGENESIS","IFNGR1",3459,"ENSG00000027697","IFNGR1",3459,"ENSG00000027697","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"108","H","","HALLMARK_ADIPOGENESIS","IMMT",10989,"ENSG00000132305","IMMT",10989,"ENSG00000132305","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"109","H","","HALLMARK_ADIPOGENESIS","ITGA7",3679,"ENSG00000135424","ITGA7",3679,"ENSG00000135424","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"110","H","","HALLMARK_ADIPOGENESIS","ITIH5",80760,"ENSG00000123243","ITIH5",80760,"ENSG00000123243","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"111","H","","HALLMARK_ADIPOGENESIS","ITSN1",6453,"ENSG00000205726","ITSN1",6453,"ENSG00000205726","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"112","H","","HALLMARK_ADIPOGENESIS","JAGN1",84522,"ENSG00000171135","JAGN1",84522,"ENSG00000171135","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"113","H","","HALLMARK_ADIPOGENESIS","LAMA4",3910,"ENSG00000112769","LAMA4",3910,"ENSG00000112769","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"114","H","","HALLMARK_ADIPOGENESIS","LEP",3952,"ENSG00000174697","LEP",3952,"ENSG00000174697","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"115","H","","HALLMARK_ADIPOGENESIS","LIFR",3977,"ENSG00000113594","LIFR",3977,"ENSG00000113594","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"116","H","","HALLMARK_ADIPOGENESIS","LIPE",3991,"ENSG00000079435","LIPE",3991,"ENSG00000079435","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"117","H","","HALLMARK_ADIPOGENESIS","LPCAT3",10162,"ENSG00000111684","LPCAT3",10162,"ENSG00000111684","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"118","H","","HALLMARK_ADIPOGENESIS","LPL",4023,"ENSG00000175445","LPL",4023,"ENSG00000175445","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"119","H","","HALLMARK_ADIPOGENESIS","LTC4S",4056,"ENSG00000213316","LTC4S",4056,"ENSG00000213316","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"120","H","","HALLMARK_ADIPOGENESIS","LTC4S",4056,"ENSG00000283887","LTC4S",4056,"ENSG00000283887","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"121","H","","HALLMARK_ADIPOGENESIS","MAP4K3",8491,"ENSG00000011566","MAP4K3",8491,"ENSG00000011566","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"122","H","","HALLMARK_ADIPOGENESIS","MCCC1",56922,"ENSG00000078070","MCCC1",56922,"ENSG00000078070","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"123","H","","HALLMARK_ADIPOGENESIS","MDH2",4191,"ENSG00000146701","MDH2",4191,"ENSG00000146701","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"124","H","","HALLMARK_ADIPOGENESIS","ME1",4199,"ENSG00000065833","ME1",4199,"ENSG00000065833","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"125","H","","HALLMARK_ADIPOGENESIS","MGLL",11343,"ENSG00000074416","MGLL",11343,"ENSG00000074416","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"126","H","","HALLMARK_ADIPOGENESIS","MGST3",4259,"ENSG00000143198","MGST3",4259,"ENSG00000143198","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"127","H","","HALLMARK_ADIPOGENESIS","MIGA2",84895,"ENSG00000148343","MIGA2",84895,"ENSG00000148343","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"128","H","","HALLMARK_ADIPOGENESIS","MRAP",56246,"ENSG00000170262","MRAP",56246,"ENSG00000170262","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"129","H","","HALLMARK_ADIPOGENESIS","MRPL15",29088,"ENSG00000137547","MRPL15",29088,"ENSG00000137547","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"130","H","","HALLMARK_ADIPOGENESIS","MTARC2",54996,"ENSG00000117791","MTARC2",54996,"ENSG00000117791","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"131","H","","HALLMARK_ADIPOGENESIS","MTCH2",23788,"ENSG00000109919","MTCH2",23788,"ENSG00000109919","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"132","H","","HALLMARK_ADIPOGENESIS","MTCH2",23788,"ENSG00000285121","MTCH2",23788,"ENSG00000285121","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"133","H","","HALLMARK_ADIPOGENESIS","MYLK",4638,"ENSG00000065534","MYLK",4638,"ENSG00000065534","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"134","H","","HALLMARK_ADIPOGENESIS","NABP1",64859,"ENSG00000173559","NABP1",64859,"ENSG00000173559","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"135","H","","HALLMARK_ADIPOGENESIS","NDUFA5",4698,"ENSG00000128609","NDUFA5",4698,"ENSG00000128609","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"136","H","","HALLMARK_ADIPOGENESIS","NDUFAB1",4706,"ENSG00000004779","NDUFAB1",4706,"ENSG00000004779","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"137","H","","HALLMARK_ADIPOGENESIS","NDUFB7",4713,"ENSG00000099795","NDUFB7",4713,"ENSG00000099795","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
