"","gs_cat","gs_subcat","gs_name","gene_symbol","entrez_gene","ensembl_gene","human_gene_symbol","human_entrez_gene","human_ensembl_gene","gs_id","gs_pmid","gs_geoid","gs_exact_source","gs_url","gs_description"
"1","H","","HALLMARK_ADIPOGENESIS","ABCA1",19,"ENSG00000165029","ABCA1",19,"ENSG00000165029","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"2","H","","HALLMARK_ADIPOGENESIS","ABCB8",11194,"ENSG00000197150","ABCB8",11194,"ENSG00000197150","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"3","H","","HALLMARK_ADIPOGENESIS","ACAA2",10449,"ENSG00000167315","ACAA2",10449,"ENSG00000167315","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"4","H","","HALLMARK_ADIPOGENESIS","ACADL",33,"ENSG00000115361","ACADL",33,"ENSG00000115361","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"5","H","","HALLMARK_ADIPOGENESIS","ACADM",34,"ENSG00000117054","ACADM",34,"ENSG00000117054","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"6","H","","HALLMARK_ADIPOGENESIS","ACADS",35,"ENSG00000122971","ACADS",35,"ENSG00000122971","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"7","H","","HALLMARK_ADIPOGENESIS","ACLY",47,"ENSG00000131473","ACLY",47,"ENSG00000131473","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"8","H","","HALLMARK_ADIPOGENESIS","ACO2",50,"ENSG00000100412","ACO2",50,"ENSG00000100412","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"9","H","","HALLMARK_ADIPOGENESIS","ACOX1",51,"ENSG00000161533","ACOX1",51,"ENSG00000161533","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"10","H","","HALLMARK_ADIPOGENESIS","ADCY6",112,"ENSG00000174233","ADCY6",112,"ENSG00000174233","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"11","H","","HALLMARK_ADIPOGENESIS","ADIG",149685,"ENSG00000182035","ADIG",149685,"ENSG00000182035","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"12","H","","HALLMARK_ADIPOGENESIS","ADIPOQ",9370,"ENSG00000181092","ADIPOQ",9370,"ENSG00000181092","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"13","H","","HALLMARK_ADIPOGENESIS","ADIPOR2",79602,"ENSG00000006831","ADIPOR2",79602,"ENSG00000006831","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"14","H","","HALLMARK_ADIPOGENESIS","ADIPOR2",79602,"ENSG00000285070","ADIPOR2",79602,"ENSG00000285070","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"15","H","","HALLMARK_ADIPOGENESIS","AGPAT3",56894,"ENSG00000160216","AGPAT3",56894,"ENSG00000160216","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"16","H","","HALLMARK_ADIPOGENESIS","AIFM1",9131,"ENSG00000156709","AIFM1",9131,"ENSG00000156709","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"17","H","","HALLMARK_ADIPOGENESIS","AK2",204,"ENSG00000004455","AK2",204,"ENSG00000004455","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"18","H","","HALLMARK_ADIPOGENESIS","ALDH2",217,"ENSG00000111275","ALDH2",217,"ENSG00000111275","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"19","H","","HALLMARK_ADIPOGENESIS","ALDOA",226,"ENSG00000149925","ALDOA",226,"ENSG00000149925","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
"20","H","","HALLMARK_ADIPOGENESIS","ANGPT1",284,"ENSG00000154188","ANGPT1",284,"ENSG00000154188","M5905","26771021","","","","Genes up-regulated during adipocyte differentiation (adipogenesis)."
